Date,"Butte (380)
Snow
Water
Equivalent
(in)
Start of Month Values","Butte (380)
Precipitation
Accumulation
(in)
Start of Month Values","Butte (380)
Air
Temperature
Observed
(degF)
Start of Month Values","Butte (380)
Soil
Temperature
Observed -2in
(degF)
Start of Month Values","Butte (380)
Soil
Moisture
Percent -2in
(pct)
Start of Month Values","Slumgullion (762)
Snow
Water
Equivalent
(in)
Start of Month Values","Slumgullion (762)
Precipitation
Accumulation
(in)
Start of Month Values","Slumgullion (762)
Air
Temperature
Observed
(degF)
Start of Month Values","Slumgullion (762)
Soil
Temperature
Observed -2in
(degF)
Start of Month Values","Slumgullion (762)
Soil
Moisture
Percent -2in
(pct)
Start of Month Values",DC_Inflow
Jan 2006,8,10.1,29,33,19.8,5.7,6.2,21,52,0,"13,970"
Feb 2006,11.4,13.1,19,33,18.5,7.9,8.4,10,52,0,"15,450"
Mar 2006,13,14.4,34,33,18.5,9.5,10,24,48,0,"11,020"
Apr 2006,15.2,16.4,33,33,27.8,13.4,13.4,23,41,0,"11,100"
May 2006,7,17.9,33,42,21.1,12.1,15.5,27,35,0,"10,630"
Jun 2006,0,18.2,43,55,6.9,0,15.9,36,26,2.7,"14,170"
Jul 2006,0,18.9,49,55,12.1,0,16.4,45,50,32.9,"14,630"
Aug 2006,0,22.7,51,53,12.2,0,20.4,46,49,36,"15,650"
Sep 2006,0,25.5,48,44,16.9,0,24,43,43,30.9,"10,680"
Oct 2006,0,0,42,37,25.9,0,0,,34,35.6,"11,620"
Nov 2006,1.5,3.6,29,33,21.5,2.8,4.3,24,32,19.9,"11,160"
Dec 2006,3.9,6,18,33,18.3,5.1,6.5,16,31,17.8,"13,950"
Jan 2007,5.4,7.1,21,33,15.3,7.8,8.7,20,31,17.5,"13,960"
Feb 2007,5.9,8.3,4,33,11.7,9.4,10.1,-3,31,17.1,"12,310"
Mar 2007,8.8,10.5,4,33,15.7,11.1,11.5,-2,32,28,"11,150"
Apr 2007,11.1,12.2,31,33,29.6,12.9,13.4,24,32,39.9,"11,300"
May 2007,2.2,14,40,42,22.9,14.7,18.2,37,33,40.3,"10,970"
Jun 2007,0,15.2,44,52,9.5,2.8,20.3,36,44,35,"14,500"
Jul 2007,0,15.8,55,57,6.3,0,20.4,49,50,29.9,"14,660"
Aug 2007,0,18.1,52,55,5.9,0,24.2,50,50,35.4,"15,170"
Sep 2007,0,19.2,46,48,9.1,0,28.9,43,45,32.2,"11,630"
Oct 2007,0,0,38,37,16.5,0,0,36,36,33.9,"10,870"
Nov 2007,0,1.7,31,32,10.6,1.1,1.4,28,30,17.7,"11,250"
Dec 2007,1,2.8,32,32,1.5,3.2,3.3,31,31,15.4,"14,290"
Jan 2008,7,9,-5,32,2.2,8.2,8.2,-11,30,15.1,"14,260"
Feb 2008,13.7,15.1,10,32,2.2,11.9,11.7,17,31,14.9,"12,890"
Mar 2008,18.7,20.1,26,32,3.8,15.4,14.9,28,31,15.7,"15,840"
Apr 2008,21.9,22.6,11,32,20.1,17.3,16.8,14,32,20.6,"12,870"
May 2008,18.2,24.3,30,33,27,16.2,18.7,25,32,39.6,"14,260"
Jun 2008,0.9,26.1,45,50,17.3,2.8,21,42,42,35.2,"14,550"
Jul 2008,0,26.1,43,56,6.9,0,21,39,49,20.7,"15,320"
Aug 2008,0,28,56,53,9.8,0,22.6,54,51,19.8,"16,150"
