Date,Diamond_Creek_Inflow_Guage,"Camp_Jackson_(383)
SWE_in
","Camp_Jackson_(383)
Precipitation
Accumulation
(in)
","Camp_Jackson_(383)
Air
Temperature
Observed
(degF)
","Camp_Jackson_(383)
Soil
Temperature
Observed_-2in
(degF)
","Camp_Jackson_(383)
Soil
Moisture
Percent_-2in
(pct)
","East_Willow_Creek_(461)
Snow
Water
Equivalent
(in)
","East_Willow_Creek_(461)
Precipitation
Accumulation
(in)
","East_Willow_Creek_(461)
Air
Temperature
Observed
(degF)
","East_Willow_Creek_(461)
Soil
Temperature
Observed_-2in
(degF)
","East_Willow_Creek_(461)
Soil
Moisture
Percent_-2in
(pct)
","Lasal_Mountain_(572)
Snow
Water
Equivalent
(in)
","Lasal_Mountain_(572)
Precipitation
Accumulation
(in)
","Lasal_Mountain_(572)
Air
Temperature
Observed
(degF)
","Lasal_Mountain_(572)
Soil
Temperature
Observed_-2in
(degF)
","Lasal_Mountain_(572)
Soil
Moisture
Percent_-2in
(pct)
"
1/1/2006,"12,050",0.8,3.8,29,33,9,0.9,2,31,,,3.8,7.5,28,34,5.1
2/1/2006,"11,880",2.8,5.3,27,33,9.2,1.8,3,25,22,7.4,6.8,10.8,22,34,6
3/1/2006,"11,130",2.9,5.8,33,34,11.3,1.8,3.3,36,29,11.7,7.3,12,33,34,12
4/1/2006,"10,620",8.1,11.2,31,35,33.3,4.1,6.4,34,34,27.4,11.7,18.5,31,34,25.7
5/1/2006,"13,500",0,12.4,45,46,23.8,0,6.9,41,47,17.2,0,21,,50,12.6
6/1/2006,"14,610",0,12.5,48,51,14.8,0,7,41,59,8.3,0,21.3,41,58,4
7/1/2006,"15,430",0,13.1,63,55,21.8,0,7.8,51,60,23.9,0,22.2,55,60,6.7
8/1/2006,"15,880",0,17.9,52,56,19.7,0,10.9,52,57,18.5,0,25.2,52,58,13.4
9/1/2006,"14,860",0,21.1,52,49,22.9,0,11.4,49,46,21.8,0,28.9,52,49,17.6
10/1/2006,"9,832",0,0,47,42,29.7,0,0,44,38,31,0,0,48,40,25
11/1/2006,"10,720",0,6.8,38,35,28.8,0.4,6.1,33,31,21.3,0,8.9,32,35,20.7
12/1/2006,"12,070",0.7,8.2,30,34,26.9,1,7.4,29,30,11,1.3,11.4,21,34,19.2
1/1/2007,"13,580",1.8,9.8,28,34,26.5,2.1,8.3,23,29,10.5,3.8,13.5,27,34,18.7
2/1/2007,"12,310",3.1,11.1,9,34,27.8,3.2,9.2,0,30,10.7,5.1,15.2,3,33,18.3
3/1/2007,"11,230",5.1,12.9,14,34,32.2,4.8,10.7,8,31,24.4,8,18.3,8,33,23.7
4/1/2007,"11,530",0.3,13.9,38,39,32.6,0.7,12,36,36,32,4.3,20.2,36,36,25.4
5/1/2007,"10,890",0,16,50,46,31.4,0,13.2,47,46,26.5,0,23.3,42,46,20.1
6/1/2007,"11,710",0,17.9,53,51,19,0,14.2,48,57,8.4,0,25.6,40,56,3.7
7/1/2007,"15,080",0,18.7,56,55,11.3,0,14.3,51,63,9.9,0,26,54,61,7.7
8/1/2007,"15,850",0,22.4,55,56,13.5,0,16.8,54,60,16.9,0,28.3,55,58,17.5
9/1/2007,"13,360",0,24.7,55,52,11.6,0,19.1,58,52,12.5,0,33,51,54,16
10/1/2007,"9,735",0,0,41,42,21.5,0,0,33,37,23.5,0,0,49,42,18.5
11/1/2007,"10,750",0,1.1,35,36,17.4,0,0.8,32,31,16.1,0,1.9,34,36,13.9
12/1/2007,"12,020",1.6,3.5,34,34,24.3,0.7,1.6,34,29,8.6,1,3,34,33,13.8
1/1/2008,"17,890",7.4,9,3,34,28.9,4.3,5.2,-4,29,8.3,6.1,8.5,-3,34,15.3
2/1/2008,"15,400",17.1,16.1,16,34,30.9,8.2,8.5,15,29,8.6,9,12.5,20,34,16.2
3/1/2008,"12,010",24.2,21.8,33,34,33,11.9,11.5,30,30,14.2,12.3,16.3,38,33,18.8
4/1/2008,"11,730",22.8,21.9,28,33,36.6,12.2,12,10,32,32.8,11.2,18.3,13,33,25.1
5/1/2008,"11,400",5.7,22.7,31,40,35.8,3.7,12.7,25,42,29.5,1.9,20.3,23,41,22.6
6/1/2008,"10,920",0,25.9,48,50,23.5,0,13.4,42,52,21.7,0,22.5,51,54,7.6
7/1/2008,"15,050",0,26.8,50,54,15.4,0,15.3,53,59,19,0,23.7,51,59,2
8/1/2008,"15,690",0,29.6,59,55,13.7,0,16.6,57,60,17.1,0,24.8,58,58,5.2
9/1/2008,"12,080",0,31,50,50,11,0,18.9,52,50,22.1,0,27,51,52,2
10/1/2008,"9,797",0,0,49,42,18.4,0,0,46,39,20.1,0,0,46,42,15.1
11/1/2008,"11,010",0,1.6,42,35,17.6,0,1.4,42,30,13.1,0,1.4,43,36,12.2
12/1/2008,"13,500",1.1,3.4,36,34,22.8,0.6,2.6,34,27,7.7,1.2,3.5,28,34,13.1
1/1/2009,"13,610",7.9,9.6,29,34,27.9,4.9,6.8,25,28,8.2,6.4,8.6,24,34,12.3
